Make,Model,Seats,Fuselage Width,Fuselage Length,Footprint,Skin Surface Area (sq ft),Maintenance Wash Hours,Decon Paint Hours,One Step Polish Hours,Fly Shiny Static Guard Wax Hours,Fly Shiny Air Gaurd Spray Ceramic Hours,Fly Shiny Pro Ceramic Coating Hours,Clean/Condition Leather Hours,Extract Carpets Hours,Bronze Package Hours,Silver Package Hours,Gold Package Hours,Platinum Package Hours,Shiny Jet Package Hours
Aérospatiale,Gazelle (SA 342),5,5.5,31,170.5,"e1,420",4.27,3.44,3.98,5.68,7.58,15.16,1.39,0.86,4.27,5.11,10.78,20.56,27.78
Aérospatiale,Alouette II,2,4.5,31.7,142.65,"e1,280",3.57,2.89,3.33,4.75,6.34,12.68,0.56,0.88,3.57,3.83,8.61,16.67,22.78
Aérospatiale,Alouette III,4,5,5,25,"e1,100",0.62,0.50,0.58,0.83,1.11,2.22,1.11,0.14,0.62,1.67,2.50,3.89,5.00
Aérospatiale,SA 315B Lama,4,6,33.6,201.6,"e1,520",5.04,4.06,4.70,6.72,8.96,17.92,1.11,0.93,5.04,5.44,12.17,23.33,32.22
Aérospatiale,AS 350 Écureuil,6,5,35.8,179,"e1,580",4.47,3.61,4.18,5.97,7.96,15.91,1.67,0.99,4.47,5.67,11.61,21.67,29.44
Aérospatiale,AS 355 Écureuil 2,5,5.33,35,186.55,"e1,620",4.67,3.78,4.35,6.22,8.29,16.58,1.39,0.97,4.67,5.50,11.72,22.22,30.56
Aérospatiale,SA 360 Dauphin,9,7,36,252,"e2,100",6.30,5.06,5.88,8.40,11.20,22.40,2.50,1.00,6.30,7.72,16.11,30.00,41.11
Aérospatiale,AS 565 Panther,12,7.9,36,284.4,"e2,450",7.11,5.72,6.64,9.48,12.64,25.28,3.33,1.00,7.11,9.11,18.56,34.44,47.22
Aérospatiale,AS 365 Dauphin,12,7.9,45.1,356.29,"e2,800",8.91,7.17,8.31,11.88,15.84,31.67,3.33,1.26,8.91,10.56,22.44,42.22,57.78
Aérospatiale,AS 332 Super Puma,16,11.5,61.4,706.1,"e5,200",17.65,14.17,16.48,23.54,31.38,62.76,4.44,1.71,17.65,17.94,41.50,80.00,111.67
Aérospatiale,SA 321 Super Frelon,37,8,50,400,"e6,800",10.00,8.00,9.33,13.33,17.78,35.56,10.28,1.39,10.00,18.33,31.67,53.89,71.67
Air Tractor,AT-300,1,,27,1215,"e2,800",3.33,3.83,9.44,6.78,,19.44,,,,,,,
Air Tractor,AT-401,1,,27,1328.4,"e3,100",3.33,3.83,10.56,7.39,,21.67,,,,,,,
Air Tractor,AT-402,1,,30.7,1510.44,"e3,400",4.17,4.83,11.67,8.44,,24.44,,,,,,,
Air Tractor,AT-402A/402B,1,,30.7,1565.7,"e3,550",4.17,4.83,12.22,8.72,,25.56,,,,,,,
Air Tractor,AT-502/502B/504,1,,33.2,1726.4,"e3,900",5.00,5.78,13.33,9.61,,27.78,,,,,,,
Air Tractor,AT-602,1,,33.6,1881.6,"e4,200",5.00,5.78,14.44,10.50,,30.56,,,,,,,
Air Tractor,AT-802/802A,1,,35.8,2122.94,"e4,900",5.83,6.72,16.67,11.83,,34.44,,,,,,,
Air Tractor,Air,1,,37.6,2229.68,"e5,100",5.83,6.72,17.22,12.39,,36.11,,,,,,,
Airbus,A220,,,102.2,10628.8,"e12,500",30.83,35.56,136.11,47.78,54.44,170.00,,3.33,,,,,
Airbus,A318,,,103,11536,"e13,800",33.33,38.33,147.78,51.67,59.44,184.44,,3.33,,,,,
Airbus,A320,,,103.2,11558.4,"e15,200",33.33,38.33,147.78,52.22,59.44,185.00,,3.33,,,,,
Airbus,A319,,,111,13053.6,"e14,500",38.33,44.44,167.22,58.89,67.22,208.89,,3.89,,,,,
Airbus,A321,,,146,17155,"e17,800",50.00,57.78,219.44,77.22,87.78,274.44,,5.00,,,,,
Airbus,A310,,,153,22032,"e20,500",64.17,73.89,281.67,98.89,112.78,352.22,,5.00,,,,,
Airbus,A300,,,175.9,25874.89,"e22,000",75.00,86.67,331.11,116.11,132.78,413.33,,5.56,,,,,
Airbus,A330,,,192.9,38155.62,"e26,000",110.00,126.67,487.78,171.11,195.56,609.44,,6.11,,,,,
Airbus,A340,,,245,50960,"e28,500",146.67,168.89,651.67,228.33,260.56,814.44,,7.78,,,,,
